conv_layer_1;conv_layer_2;dense_layer_1;dense_layer_2;drop_out_1;drop_out_2;id_simu
16;64;16;64;0.3;0.2;324
16;64;16;64;0.3;0.3;325
16;64;16;64;0.3;0.4;326
16;64;16;64;0.3;0.5;327
16;64;16;64;0.4;0.2;328
16;64;16;64;0.4;0.3;329
16;64;16;64;0.4;0.4;330
16;64;16;64;0.4;0.5;331
16;64;16;64;0.5;0.2;332
16;64;16;64;0.5;0.3;333
16;64;16;64;0.5;0.4;334
16;64;16;64;0.5;0.5;335
16;64;32;16;0.2;0.2;336
16;64;32;16;0.2;0.3;337
16;64;32;16;0.2;0.4;338
16;64;32;16;0.2;0.5;339
16;64;32;16;0.3;0.2;340
16;64;32;16;0.3;0.3;341
16;64;32;16;0.3;0.4;342
16;64;32;16;0.3;0.5;343
16;64;32;16;0.4;0.2;344
16;64;32;16;0.4;0.3;345
16;64;32;16;0.4;0.4;346
16;64;32;16;0.4;0.5;347
16;64;32;16;0.5;0.2;348
16;64;32;16;0.5;0.3;349
16;64;32;16;0.5;0.4;350
16;64;32;16;0.5;0.5;351
16;64;32;32;0.2;0.2;352
16;64;32;32;0.2;0.3;353
16;64;32;32;0.2;0.4;354
16;64;32;32;0.2;0.5;355
16;64;32;32;0.3;0.2;356
16;64;32;32;0.3;0.3;357
16;64;32;32;0.3;0.4;358
16;64;32;32;0.3;0.5;359
16;64;32;32;0.4;0.2;360
16;64;32;32;0.4;0.3;361
16;64;32;32;0.4;0.4;362
16;64;32;32;0.4;0.5;363
16;64;32;32;0.5;0.2;364
16;64;32;32;0.5;0.3;365
16;64;32;32;0.5;0.4;366
16;64;32;32;0.5;0.5;367
16;64;32;64;0.2;0.2;368
16;64;32;64;0.2;0.3;369
16;64;32;64;0.2;0.4;370
16;64;32;64;0.2;0.5;371
16;64;32;64;0.3;0.2;372
16;64;32;64;0.3;0.3;373
16;64;32;64;0.3;0.4;374
16;64;32;64;0.3;0.5;375
16;64;32;64;0.4;0.2;376
16;64;32;64;0.4;0.3;377
16;64;32;64;0.4;0.4;378
16;64;32;64;0.4;0.5;379
16;64;32;64;0.5;0.2;380
16;64;32;64;0.5;0.3;381
16;64;32;64;0.5;0.4;382
16;64;32;64;0.5;0.5;383
16;64;64;16;0.2;0.2;384
16;64;64;16;0.2;0.3;385
16;64;64;16;0.2;0.4;386
16;64;64;16;0.2;0.5;387
16;64;64;16;0.3;0.2;388
16;64;64;16;0.3;0.3;389
16;64;64;16;0.3;0.4;390
16;64;64;16;0.3;0.5;391
16;64;64;16;0.4;0.2;392
16;64;64;16;0.4;0.3;393
16;64;64;16;0.4;0.4;394
16;64;64;16;0.4;0.5;395
16;64;64;16;0.5;0.2;396
16;64;64;16;0.5;0.3;397
16;64;64;16;0.5;0.4;398
16;64;64;16;0.5;0.5;399
16;64;64;32;0.2;0.2;400
16;64;64;32;0.2;0.3;401
16;64;64;32;0.2;0.4;402
16;64;64;32;0.2;0.5;403
16;64;64;32;0.3;0.2;404
16;64;64;32;0.3;0.3;405
16;64;64;32;0.3;0.4;406
16;64;64;32;0.3;0.5;407
16;64;64;32;0.4;0.2;408
